title,year,certificate,rating,description,director,writer,actors,genres
Jaws: The Revenge,1987,1987,3.0,Chief Brody's widow believes that her family is deliberately being targeted by another shark in search of revenge.,Joseph Sargent,"['Joseph Sargent', 'Peter Benchley']","['Lorraine Gary', 'Lance Guest', 'Mario Van Peebles', 'Karen Young', 'Michael Caine', 'Judith Barsi', 'Mitchell Anderson', 'Lynn Whitfield', 'Jay Mello', 'Cedric Scott', 'Charles Bowleg', 'Melvin Van Peebles', 'Mary Smith', 'Edna Billotto', 'Fritzi Jane Courtney', 'Cyprian R. Dube', 'Lee Fierro', 'Moby Griffin']",Joseph Sargent
Altered,2006,2006,5.6,"Fifteen years ago, a group of men's lives were forever changed by a strange occurrence. Now, the same group of men will spend a night together ... in terror.",Eduardo Sánchez,"['Eduardo Sánchez', 'Jamie Nash']","['Adam Kaufman', 'Catherine Mangan', 'Brad William Henke', 'Michael C. Williams', 'Paul McCarthy-Boyington', 'Misty Rosas', 'James Gammon', 'Joe Unger', 'John William Wright', 'Shea Elmore', 'Klaus Heesch', 'Matt McCann', 'Phil Stevenson', 'Eduardo Sánchez']",Eduardo Sánchez
The Duke of Burgundy,2014,2014,6.5,A woman who studies butterflies and moths tests the limits of her relationship with her lesbian lover.,Peter Strickland,"['Peter Strickland', 'Peter Strickland']","['Sidse Babett Knudsen', 'Monica Swinn', ""Chiara D'Anna"", 'Kata Bartsch', 'Zita Kraszkó', 'Gretchen Meddaugh', 'Eszter Tompa', 'Fatma Mohamed', 'Eugenia Caruso']",Peter Strickland
Cocoon: The Return,1988,1988,5.4,"The seniors return to Earth to visit their relatives. Will they all decide to go back to the planet where no one grows old, or will they be tempted to stay back on Earth?",Daniel Petrie,"['Daniel Petrie', 'David Saperstein']","['Don Ameche', 'Wilford Brimley', 'Courteney Cox', 'Hume Cronyn', 'Jack Gilford', 'Steve Guttenberg', 'Barret Oliver', 'Maureen Stapleton', 'Elaine Stritch', 'Jessica Tandy', 'Gwen Verdon', 'Tahnee Welch', 'Linda Harrison', 'Tyrone Power Jr.', 'Mike Nomad', 'Wendy J. Cooke', 'Herta Ware', 'Brian C. Smith']",Daniel Petrie
Mortdecai,2015,2015,5.5,"Juggling angry Russians, the British Mi5, and an international terrorist, debonair art dealer and part-time rogue Charlie Mortdecai races to recover a stolen painting rumored to contain a code that leads to lost gold.",David Koepp,"['David Koepp', 'Eric Aronson']","['Johnny Depp', 'Gwyneth Paltrow', 'Ewan McGregor', 'Olivia Munn', 'Paul Bettany', 'Jonny Pasvolsky', 'Michael Culkin', 'Ulrich Thomsen', 'Alec Utgoff', 'Rob de Groot', 'Guy Burnet', 'Jeff Goldblum', 'Paul Whitehouse', 'Norma Atallah', 'Nicholas Farrell', 'Karl Theobald', 'Camilla Beeput', 'Michael Byrne']",David Koepp
Mr. Brooks,2007,2007,7.3,A well-respected businessman is sometimes controlled by his murder and mayhem-loving alter ego.,Bruce A. Evans,"['Bruce A. Evans', 'Bruce A. Evans']","['Kevin Costner', 'Demi Moore', 'William Hurt', 'Dane Cook', 'Marg Helgenberger', 'Ruben Santiago-Hudson', 'Danielle Panabaker', 'Aisha Hinds', 'Lindsay Crouse', 'Jason Lewis', 'Reiko Aylesworth', 'Matt Schulze', 'Yasmine Delawari', 'Thunderbird Dinwiddie', 'Michael Cole', 'Jim Farnum', 'Megan Brown', 'Ross Francis']",Bruce A. Evans
Jupiter Ascending,2015,2015,5.3,A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,Lana Wachowski,"['Lana Wachowski', 'Lilly Wachowski']","['Channing Tatum', 'Mila Kunis', 'Eddie Redmayne', 'Sean Bean', 'Douglas Booth', 'Tuppence Middleton', 'Nikki Amuka-Bird', 'Christina Cole', 'Nicholas A. Newman', 'Ramon Tikaram', 'Ariyon Bakare', 'Maria Doyle Kennedy', 'Frog Stone', 'David Ajala', 'Bae Doona', 'Gugu Mbatha-Raw', 'Edward Hogg', 'Tim Pigott-Smith']",Lana Wachowski
The Birth of a Nation,1915,1915,6.2,"The Stoneman family finds its friendship with the Camerons affected by the Civil War, both fighting in opposite armies. The development of the war in their lives plays through to Lincoln's assassination and the birth of the Ku Klux Klan.",D.W. Griffith,"['D.W. Griffith', 'Thomas Dixon Jr.']","['Lillian Gish', 'Mae Marsh', 'Henry B. Walthall', 'Miriam Cooper', 'Mary Alden', 'Ralph Lewis', 'George Siegmann', 'Walter Long', 'Robert Harron', 'Wallace Reid', 'Joseph Henabery', 'Elmer Clifton', 'Josephine Crowell', 'Spottiswoode Aitken', 'George Beranger', 'Maxfield Stanley', 'Jennie Lee', 'Donald Crisp']",D.W. Griffith
The Bonfire of the Vanities,1990,1990,5.6,"After his mistress runs over a young teen, a Wall Street hotshot sees his life unravel in the spotlight and attracts the interest of a down-and-out reporter.",Brian De Palma,"['Brian De Palma', 'Michael Cristofer']","['Tom Hanks', 'Bruce Willis', 'Melanie Griffith', 'Kim Cattrall', 'Saul Rubinek', 'Morgan Freeman', 'John Hancock', 'Kevin Dunn', 'Clifton James', 'Louis Giambalvo', 'Barton Heyman', 'Norman Parker', 'Donald Moffat', 'Alan King', 'Beth Broderick', 'Kurt Fuller', 'Adam LeFevre', 'Richard Libertini']",Brian De Palma
The Weight of Water,2000,2000,5.8,A newspaper photographer researches an 1873 double homicide and finds her own life paralleling that of a witness who survived the tragic ordeal.,Kathryn Bigelow,"['Kathryn Bigelow', 'Anita Shreve']","['Catherine McCormack', 'Sean Penn', 'Sarah Polley', 'Elizabeth Hurley', 'Ciarán Hinds', 'Richard Donat', 'Ulrich Thomsen', 'Anders W. Berthelsen', 'Murdoch MacDonald', 'Joseph Rutten', 'John Walf', 'Katrin Cartlidge', 'Vinessa Shaw', 'Adam Curry', 'Josh Lucas', 'John Maclaren', 'Rita Kvist', 'Jan Tore Kristoffersen']",Kathryn Bigelow
