title,year,certificate,rating,description,director,writer,actors,genres
My Spy,2020,2020,6.3,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.",Peter Segal,"['Peter Segal', 'Erich Hoeber']","['Dave Bautista', 'Chloe Coleman', 'Parisa Fitz-Henley', 'Kristen Schaal', 'Greg Bryk', 'Ken Jeong', 'Nicola Correia-Damude', 'Devere Rogers', 'Noah Dalton Danby', 'Vieslav Krystyan', 'Basel Daoud', 'Ali Hassan', 'Olivia Dépatie', 'Keller Viaene', 'Jean-Michel Nadeau', 'Laura Cilevitz', 'Darrin Baker', ""Chris D'Silva""]",Peter Segal
The Assistant,2019,2019,6.4,"A searing look at a day in the life of an assistant to a powerful executive. As Jane follows her daily routine, she grows increasingly aware of the insidious abuse that threatens every aspect of her position.",Kitty Green,"['Kitty Green', 'Kitty Green']","['Julia Garner', 'Owen Holland', 'Jon Orsini', 'Rory Kulz', 'Migs Govea', 'Daoud Heidami', 'Ben Maters', 'Noah Robbins', 'Tony Torn', 'Dagmara Dominczyk', 'Alexander Chaplin', 'Bregje Heinen', 'Devon Caraway', 'Genny Lis Padilla', 'Clara Wong', 'James C.B. Gray', 'Sophie Knapp', 'Hunter Hojnowski']",Kitty Green
I Still Believe,2020,2020,6.4,The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.,Andrew Erwin,"['Andrew Erwin', 'Jon Erwin']","['K.J. Apa', 'Britt Robertson', 'Nathan Parsons', 'Gary Sinise', 'Shania Twain', 'Reuben Dodd', 'Nicolas Bechtel', 'Melissa Roxburgh', 'Terry Serpico', 'Tanya Christiansen', 'Cameron Arnett', 'Abigail Cowen', 'Rushi Birudala', 'Anjelah Johnson-Reyes', 'Mike McGill', 'Sahjanan Nasser', 'Alex Taylor', 'Alyssa Gonzalez']",Andrew Erwin
Hillbilly Elegy,2020,2020,6.7,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.",Ron Howard,"['Ron Howard', 'J.D. Vance']","['Amy Adams', 'Glenn Close', 'Gabriel Basso', 'Haley Bennett', 'Freida Pinto', 'Bo Hopkins', 'Owen Asztalos', 'Jesse C. Boyd', 'Stephen Kunken', 'Keong Sim', 'Morgan Gao', 'Ethan Suess', 'Jono Mitchell', 'Bill Kelly', 'David Dwyer', 'Sarah Hudson', 'Ted Huckabee', 'Nathan Hesse']",Ron Howard
Holidate,2020,2020,6.1,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",John Whitesell,"['John Whitesell', 'Tiffany Paulsen']","['Emma Roberts', 'Luke Bracey', 'Kristin Chenoweth', 'Frances Fisher', 'Andrew Bachelor', 'Jessica Capshaw', 'Manish Dayal', 'Alex Moffat', 'Cynthy Wu', 'Jake Manley', 'Julien Marlon Samani', 'Nicola Peltz Beckham', 'Savannah Reina', 'Olivia H. Hunt', 'Dan Lauria', 'Aimee Carrero', 'Meeghan Holaway', 'Carlos Lacamara']",John Whitesell
The Sonata,2018,2018,5.2,A gifted musician inherits a mansion after her long lost father dies under mysterious circumstances. She discovers his last musical masterpiece riddled with cryptic symbols that unravels an evil secret.,Andrew Desmond,"['Andrew Desmond', 'Andrew Desmond']","['Freya Tingley', 'Simon Abkarian', 'James Faulkner', 'Rutger Hauer', 'Catherine Schaub-Abkarian', 'Matt Barber', 'Christopher Brand', 'James Kermack', 'Myster Jo', 'Laine Ligere Stengrévica', 'Aurélija Pronina', 'Andrejs Zikovs', 'Maija Cipste', 'Artürs Ghoss', 'Jurijs Kruze', 'Janis Libietis', 'Atis Afréds Brasmanis', 'Olga Svecova']",Andrew Desmond
Vanguard,2020,2020,4.7,Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.,Stanley Tong,"['Stanley Tong', 'Stanley Tong']","['Jackie Chan', 'Yang Yang', 'Lun Ai', 'Miya Muqi', 'Ruohan Xu', 'Jackson Lou', 'Eyad Hourani', 'Zhengting Zhu', 'Jianping Yang', 'Bin Zhou', 'Yanlong Wang', 'Wang Ju', 'Desmond Aldridge', 'Nicole Atalla', 'Can Aydin', 'Sayed Badreya', 'Ilez Badurgov', 'Brahim Chab']",Stanley Tong
The Kindness of Strangers,2019,2019,6.4,The story of people whose lives intertwine during a dramatic winter in New York City.,Lone Scherfig,"['Lone Scherfig', 'Lone Scherfig']","['Zoe Kazan', 'Esben Smed', 'Jack Fulton', 'Finlay Wojtak-Hissong', 'Andrea Riseborough', 'Pat Thornton', 'David MacLean', 'Gugun Deep Singh', 'Caleb Landry Jones', 'Tahar Rahim', 'Jay Baruchel', 'Bill Nighy', 'Nicolaj Kopernikus', 'Kola Krauze', 'David Dencik', 'JoAnn Nordstrom', 'Scott Anderson', 'Catherine Fitch']",Lone Scherfig
Dirt Music,2019,2019,5.3,The stunning landscape of Western Australia is the backdrop for an impassioned tale of love and grief in Gregor Jordan's adaptation of the acclaimed novel by Tim Winton.,Gregor Jordan,"['Gregor Jordan', 'Jack Thorne']","['Kelly Macdonald', 'Garrett Hedlund', 'Badger', 'Jacob Clayton', 'Kohen Mills', 'David Wenham', 'Andy King', 'Fern Nicholson', 'Aaron Pedersen', 'George Mason', 'Julia Stone', 'Ava Caryofyllis', 'Layton Ridgway', 'Lachlan Kerr', 'Jessica Niven', 'Jay Walsh', 'Kelly Belinda Hammond', 'Chris Haywood']",Gregor Jordan
Wonder Woman 1984,2020,2020,5.4,"Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.",Patty Jenkins,"['Patty Jenkins', 'Patty Jenkins']","['Gal Gadot', 'Chris Pine', 'Kristen Wiig', 'Pedro Pascal', 'Robin Wright', 'Connie Nielsen', 'Lilly Aspell', 'Amr Waked', 'Kristoffer Polaha', 'Natasha Rothwell', 'Ravi Patel', 'Oliver Cotton', 'Lucian Perez', 'Gabriella Wilde', 'Kelvin Yu', 'Stuart Milligan', 'Shane Attwooll', 'David Al-Fahmi']",Patty Jenkins
Honest Thief,2020,2020,6.0,"Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.",Mark Williams,"['Mark Williams', 'Steve Allrich']","['Liam Neeson', 'Kate Walsh', 'Jai Courtney', 'Jeffrey Donovan', 'Anthony Ramos', 'Robert Patrick', 'Tazzie', 'Jasmine Cephas Jones', 'Devon Diep', 'Herlin Navarro', 'James Milord', 'Lewis D. Wheeler', 'Jose Guns Alves', 'Michael Malvesti', ""Patty O'Neil"", 'Joshua Brown', 'Guy Cooper', 'Janelle Feigley']",Mark Williams
"Endings, Beginnings",2019,2019,5.6,"A 30-something woman navigating through love and heartbreak over the course of one year. During that time, she will unlock the secrets to her life in a sudden turn of events and in the most surprising of places.",Drake Doremus,"['Drake Doremus', 'Jardine Libaire']","['Shailene Woodley', 'Jamie Dornan', 'Sebastian Stan', 'Matthew Gray Gubler', 'Lindsay Sloane', 'Shamier Anderson', 'Sherry Cola', 'Wendie Malick', 'Kyra Sedgwick', 'Janice LeAnn Brown', 'James Trussart', 'Ben Esler', 'Jonathan R. Freeman', 'Kai Lennox', 'Lorna Scott', 'Kelly Albanese', 'Seth McSwain', 'Presciliana Esparolini']",Drake Doremus
Spaceballs,1987,1987,7.1,A star-pilot for hire and his trusty sidekick must come to the rescue of a princess and save Planet Druidia from the clutches of the evil Spaceballs.,Mel Brooks,"['Mel Brooks', 'Mel Brooks']","['Mel Brooks', 'John Candy', 'Rick Moranis', 'Bill Pullman', 'Daphne Zuniga', 'Dick Van Patten', 'George Wyner', 'Michael Winslow', 'Joan Rivers', 'Lorene Yarnell Jansson', 'John Hurt', 'Sal Viscuso', 'Ronny Graham', 'Jim J. Bullock', 'Leslie Bevis', 'Jim Jackman', 'Mike Pniewski', 'Sandy Helberg']",Mel Brooks
Blade: Trinity,2004,2004,5.8,"Blade, now a wanted man by the FBI, must join forces with the Nightstalkers to face his most challenging enemy yet: Dracula.",David S. Goyer,"['David S. Goyer', 'David S. Goyer']","['Wesley Snipes', 'Kris Kristofferson', 'Parker Posey', 'Ryan Reynolds', 'Dominic Purcell', 'Jessica Biel', 'Mark Berry', 'John Michael Higgins', 'Callum Keith Rennie', 'Paul Levesque', 'Paul Anthony', 'Françoise Yip', 'Michael Anthony Rawlins', 'James Remar', 'Natasha Lyonne', 'Ginger Page', 'Patton Oswalt', 'Ron Selmour']",David S. Goyer
G.I. Joe: Retaliation,2013,2013,5.7,The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.,Jon M. Chu,"['Jon M. Chu', 'Rhett Reese']","['Dwayne Johnson', 'Channing Tatum', 'Adrianne Palicki', 'Lee Byung-hun', 'Jonathan Pryce', 'Elodie Yung', 'Ray Stevenson', 'D.J. Cotrona', 'Ray Park', 'Luke Bracey', 'Walton Goggins', 'Arnold Vosloo', 'Joseph Mazzello', 'Nick Erickson', 'RZA', 'Naim Alherimi', 'Ravi Naidu', 'Matt Gerald']",Jon M. Chu
The Punisher,2004,2004,6.4,An undercover FBI agent becomes a vigilante and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.,Jonathan Hensleigh,"['Jonathan Hensleigh', 'Jonathan Hensleigh']","['Thomas Jane', 'John Travolta', 'Samantha Mathis', 'Laura Harring', 'A. Russell Andrews', 'Omar Avila', 'James Carpinello', 'Mark Collie', 'Russell Durham Comegys', 'Antoni Corone', 'Rick Elmhurst', 'Ben Foster', 'Michael Reardon', 'William Haze', 'Eddie Jemison', 'Marco St. John', 'Marcus Johns', 'Bonnie Johnson']",Jonathan Hensleigh
The Midnight Sky,2020,2020,5.6,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.",George Clooney,"['George Clooney', 'Lily Brooks-Dalton']","['George Clooney', 'Felicity Jones', 'David Oyelowo', 'Caoilinn Springall', 'Kyle Chandler', 'Demián Bichir', 'Tiffany Boone', 'Sophie Rundle', 'Ethan Peck', 'Tim Russ', 'Miriam Shor', 'Lilja Nótt Þórarinsdóttir', 'Hanna María Karlsdóttir', 'Atli Óskar Fjalarsson', 'Edan Hayhurst', 'Jamie Schneider', 'Eysis Clacken', 'Sam Bond']",George Clooney
Transformers,2007,2007,7.0,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",Michael Bay,"['Michael Bay', 'Roberto Orci']","['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel', 'Tyrese Gibson', 'Rachael Taylor', 'Anthony Anderson', 'Jon Voight', 'John Turturro', ""Michael O'Neill"", 'Kevin Dunn', 'Julie White', 'Amaury Nolasco', 'Zack Ward', 'Luis Echagarruga', 'Patrick Mulderrig', 'Brian Shehan', 'Michael Trisler', 'Ashkan Kashanchi']",Michael Bay
Envy,2004,2004,4.8,A man becomes increasingly jealous of his friend's newfound success.,Barry Levinson,"['Barry Levinson', 'Steve Adams']","['Ben Stiller', 'Jack Black', 'Rachel Weisz', 'Amy Poehler', 'Christopher Walken', 'Ariel Gade', 'Sam Lerner', 'Lily Jackson', 'Connor Matheus', 'Hector Elias', 'Angee Hughes', 'Manny Kleinmuntz', 'Blue Deckert', 'John Gavigan', 'Terry Bozeman', 'Brian Reddy', 'E.J. Callahan', 'Edith Jefferson']",Barry Levinson
Alexander,2004,2004,5.6,"Alexander, the King of Macedonia and one of the greatest army leaders in the history of warfare, conquers much of the known world.",Oliver Stone,"['Oliver Stone', 'Oliver Stone']","['Colin Farrell', 'Anthony Hopkins', 'Rosario Dawson', 'Angelina Jolie', 'David Bedella', 'Jessie Kamm', 'Val Kilmer', ""Fiona O'Shaughnessy"", 'Connor Paolo', 'Patrick Carroll', 'Brian Blessed', 'Peter Williamson', 'Morgan Christopher Ferris', 'Rob Earley', 'Aleczander Gordon', 'Christopher Plummer', 'Gary Stretch', 'John Kavanagh']",Oliver Stone
Ocean's Twelve,2004,2004,6.5,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's Eleven (2001).,Steven Soderbergh,"['Steven Soderbergh', 'George Nolfi']","['George Clooney', 'Brad Pitt', 'Julia Roberts', 'Catherine Zeta-Jones', 'Ed Kross', 'Don Tiffany', 'Anne Jacques', 'David Sontag', 'Larry Sontag', 'Andy Garcia', 'Casey Affleck', 'Dina Connolly', 'Scott Caan', 'Nelson Peltz', 'Mini Anden', 'Shaobo Qin', 'Jennifer Liu', 'Leah Zhang']",Steven Soderbergh
Wanderlust,2012,2012,5.6,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.",David Wain,"['David Wain', 'David Wain']","['Jennifer Aniston', 'Paul Rudd', 'Malin Akerman', 'Justin Theroux', 'Alan Alda', 'Ken Marino', 'Joe Lo Truglio', 'Kathryn Hahn', 'Kerri Kenney', 'Lauren Ambrose', 'Michaela Watkins', 'Jordan Peele', 'Linda Lavin', 'Jessica St. Clair', 'Todd Barry', 'Martin Thompson', 'Ian Patrick', ""John D'Leo""]",David Wain
The Affair of the Necklace,2001,2001,6.0,"In pre-Revolutionary France, a young aristocratic woman left penniless by the political unrest in the country must avenge her family's fall from grace by scheming to steal a priceless necklace.",Charles Shyer,"['Charles Shyer', 'John Sweet']","['Hilary Swank', 'Simon Baker', 'Jonathan Pryce', 'Adrien Brody', 'Brian Cox', 'Joely Richardson', 'Christopher Walken', 'Hayden Panettiere', 'Simon Kunz', 'Paul Brooke', 'Peter Eyre', 'Frank McCusker', 'Simon Shackleton', 'Hermione Gulliford', 'Geoffrey Hutchings', 'James Vaughan', 'Jonathan Newth', 'Kristina Bill']",Charles Shyer
Corky Romano,2001,2001,4.7,The loser son of a Mafia honcho must go undercover for the FBI.,Rob Pritts,"['Rob Pritts', 'David Garrett']","['Chris Kattan', 'Peter Falk', 'Vinessa Shaw', 'Peter Berg', 'Chris Penn', 'Fred Ward', 'Richard Roundtree', 'Matthew Glave', 'Roger Fan', 'Dave Sheridan', 'Michael Massee', 'Vincent Pastore', 'Fiona Hale', 'Kip King', 'Al Eben', 'Adele Craig', 'Irene Olga López', 'Sylvester Jenkins']",Rob Pritts
Көліктер 2,2011,2011,6.2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,John Lasseter,"['John Lasseter', 'Bradford Lewis']","['Owen Wilson', 'Larry the Cable Guy', 'Michael Caine', 'Emily Mortimer', 'Eddie Izzard', 'John Turturro', 'Brent Musburger', 'Joe Mantegna', 'Thomas Kretschmann', 'Peter Jacobson', 'Bonnie Hunt', 'Darrell Waltrip', 'Franco Nero', 'David Hobbs', 'Patrick Walker', 'Tony Shalhoub', 'Jeff Garlin', 'Michel Michelis']",John Lasseter
Scary Movie 2,2001,2001,5.3,Four teens are tricked by Professor Oldman (Tim Curry) into visiting a haunted house for a school project.,Keenen Ivory Wayans,"['Keenen Ivory Wayans', 'Shawn Wayans']","['Anna Faris', 'Marlon Wayans', 'Antony Acker', 'Mark Barrett', 'Richard Bellos', 'Suzanne Bianqui', 'Natale Bosco', 'Joann Connor', 'Bradley Fisher', ""Suzanne O'Donnell"", 'Kristi Pearce', 'Donna Silverberg', 'Helene Strayer', 'Veronica Cartwright', 'Andy Richter', 'Lee R. Mayes', 'Natasha Lyonne', 'Robert Schimmel']",Keenen Ivory Wayans
In God's Hands,1998,1998,5.4,"Three pro surfers - gifted Shane, once-great Mickey and rising young star Keoni travel to Madagascar, Bali and Hawaii in search for the ultimate wave.",Zalman King,"['Zalman King', 'Zalman King']","['Matt George', 'Matty Liu', 'Shane Dorian', 'Shaun Tomson', 'Maylin Pultar', 'Bret Michaels', 'Brion James', 'Brian L. Keaulana', 'Darrick Doerner', 'Pete Cabrinha', 'Rush Randle', 'Mike Stewart', 'Brock Little', 'Tom Stern', 'Amy Hathaway', 'Vincent Klyn', 'Leontina Santos Miranda', 'Chad Randall']",Zalman King
The Man with the Iron Fists,2012,2012,5.4,"On the hunt for a fabled treasure of gold, a band of warriors, assassins, and a rogue British soldier descend upon a village in feudal China, where a humble blacksmith looks to defend himself and his fellow villagers.",RZA,"['RZA', 'RZA']","['Russell Crowe', 'Cung Le', 'Lucy Liu', 'RZA', 'Rick Yune', 'Dave Bautista', 'Jamie Chung', 'Byron Mann', 'Daniel Wu', 'Zhu Zhu', 'Chia-Hui Liu', 'Andrew Ng', 'Kuan Tai Chen', 'Yoyao Hsueh', 'Telly Liu', 'Da Qing', 'Dere Zhan', 'Lu Kai']",RZA
Texas Rangers,2001,2001,5.2,"A ragtag group of youngsters band together after the American Civil War to form the Texas Rangers, a group charged with the dangerous, ruthless duty of cleaning up the West.",Steve Miner,"['Steve Miner', 'George Durham']","['James Van Der Beek', 'Rachael Leigh Cook', 'Ashton Kutcher', 'Dylan McDermott', 'Usher', 'Tom Skerritt', 'Randy Travis', 'Leonor Varela', 'Brian Martell', 'Alfred Molina', 'Billy Morton', 'Kate Newby', 'Robert Patrick', 'Gordon Michaels', 'Joe Renteria', 'Jon Abrahams', 'Bob Bancroft', 'Stephen Bridgewater']",Steve Miner
The Big Swap,1998,1998,5.2,Five thirty-something couples decide to indulge in some friendly partner swapping with disastrous results for their marriages and friendship.,Niall Johnson,"['Niall Johnson', 'Niall Johnson']","['Anthony Edridge', 'Sorcha Brooks', 'Richard Cherry', 'Julie-Ann Gillitt', 'Kevin Howarth', 'Alison Egan', 'Mark Caven', 'Clark Hayes', 'Jackie Sawiris', 'Thierry Harcourt', 'Mark Adams', 'Alisa Bosschaert', 'Virginia Fiol', 'Wendy Jane Abbott', 'Rachael Boyce', 'Wendy Robson Burrell', 'Rebecca Du Plessis', 'James Hagues']",Niall Johnson
Ghosts of Mars,2001,2001,4.9,"In 2176, a Martian police unit is sent to pick up a highly dangerous criminal at a remote mining post. Upon arrival, the cops find that the post has become a charnel house.",John Carpenter,"['John Carpenter', 'Larry Sulkis']","['Natasha Henstridge', 'Ice Cube', 'Pam Grier', 'Jason Statham', 'Clea DuVall', 'Joanna Cassidy', 'Richard Cetrone', 'Rosemary Forsyth', 'Liam Waite', 'Duane Davis', 'Lobo Sebastian', 'Rodney A. Grant', 'Peter Jason', 'Wanda De Jesus', 'Doug McGrath', 'Rick Edelstein', 'Robert Carradine', 'Michael Krawic']",John Carpenter
Max Keeble's Big Move,2001,2001,5.4,"Max Keeble, the victim of his 7th grade class, plots revenge when he learns that he's moving, but it backfires when he isn't after all.",Tim Hill,"['Tim Hill', 'David L. Watts']","['Alex D. Linz', 'Larry Miller', 'Jamie Kennedy', 'Zena Grey', 'Josh Peck', 'Nora Dunn', 'Robert Carradine', 'Clifton Davis', 'Amy Hill', 'Noel Fisher', 'Orlando Brown', 'Amber Valletta', 'Justin Berfield', 'Veronica Alicino', 'Brooke Anne Smith', 'Greg Lewis', 'Chely Wright', 'Jonathan Osser']",Tim Hill
Hudson Hawk,1991,1991,5.7,A cat burglar is forced to steal Da Vinci works of art for a world domination plot.,Michael Lehmann,"['Michael Lehmann', 'Bruce Willis']","['Bruce Willis', 'Danny Aiello', 'Andie MacDowell', 'James Coburn', 'Richard E. Grant', 'Sandra Bernhard', 'Donald Burton', 'Don Harvey', 'David Caruso', 'Andrew Bryniarski', 'Lorraine Toussaint', 'Burtt Harris', 'Frank Stallone', 'Carmine Zozzora', 'Stefano Molinari', 'Enrico Lo Verso', 'Remo Remotti', 'Giselda Volodi']",Michael Lehmann
The Incredible Burt Wonderstone,2013,2013,5.9,"A veteran Vegas magician tries to revive his career after his longtime partner quits, he gets fired from his casino act, and an edgy new ""street magician"" steals his thunder.",Don Scardino,"['Don Scardino', 'Jonathan Goldstein']","['Steve Carell', 'Luke Vanek', 'Steve Buscemi', 'Mason Cook', 'Olivia Wilde', 'Jim Carrey', 'James Gandolfini', 'Alan Arkin', 'Jay Mohr', 'Michael Herbig', 'Zachary Gordon', 'Richard Wolffe', 'Erin Burnett', 'Brad Garrett', 'David Copperfield', 'Fiona Hale', 'Sonya Eddy', 'Ron Ostrow']",Don Scardino
Exorcist: The Beginning,2004,2004,5.1,"Years before Father Lankester Merrin helped save Regan MacNeil's soul, he first encounters the demon Pazuzu in East Africa. This is the tale of Father Merrin's initial battle with Pazuzu and the rediscovery of his faith.",Renny Harlin,"['Renny Harlin', 'William Peter Blatty']","['Stellan Skarsgård', 'Izabella Scorupco', ""James D'Arcy"", 'Remy Sweeney', 'Julian Wadham', 'Andrew French', 'Ralph Brown', 'Ben Cross', 'David Bradley', 'Alan Ford', 'Antonie Kamerling', 'Eddie Osei', 'Israel Oyelumade', ""Patrick O'Kane"", 'James Bellamy', 'Cecilia Amati', 'Matti Ristinen', 'Lydia Darly']",Renny Harlin
The Last Airbender,2010,2010,4.0,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",M. Night Shyamalan,"['M. Night Shyamalan', 'M. Night Shyamalan']","['Noah Ringer', 'Nicola Peltz Beckham', 'Jackson Rathbone', 'Dev Patel', 'Shaun Toub', 'Aasif Mandvi', 'Cliff Curtis', 'Seychelle Gabriel', 'Katharine Houghton', 'Francis Guinan', 'Damon Gupton', 'Summer Bishil', 'Randall Duk Kim', ""John D'Alonzo"", 'Keong Sim', 'Isaac Jin Solstein', 'Edmund Ikeda', 'John Noble']",M. Night Shyamalan
The Versace Murder,1998,1998,3.4,This docu-drama focuses on the true story of the murder of fashion designer Gianni Versace by alleged serial killer Andrew Cunanan.,Menahem Golan,"['Menahem Golan', 'Menahem Golan']","['Franco Nero', 'Steven Bauer', 'Shane Perdue', 'Matt Servitto', 'David Wolfson', 'Oscar Torre', 'David Anthony Pizzuto', 'Renny Roker', 'Dania Deville', 'Pablo Durán', 'Robert W. Horton', 'Helen M. Gwynn', 'Robert Weinstein', 'Mario Ortiz', 'Mona Frankel', 'Vincent Coppola', 'Gabrielle Abitol', 'Howard Dobinsky']",Menahem Golan
Resident Evil: Apocalypse,2004,2004,6.1,"Alice wakes up in the Raccoon City hospital after the area has been overrun by zombies, and must now make it out of the city before a nuclear bomb is dropped.",Alexander Witt,"['Alexander Witt', 'Paul W.S. Anderson']","['Milla Jovovich', 'Sienna Guillory', 'Eric Mabius', 'Oded Fehr', 'Thomas Kretschmann', 'Sophie Vavasseur', 'Razaaq Adoti', 'Jared Harris', 'Mike Epps', 'Sandrine Holt', 'Matthew G. Taylor', 'Zack Ward', 'Iain Glen', 'Dave Nichols', 'Stefen Hayes', 'Geoffrey Pounsett', 'Shaun Austin-Olsen', 'Geny Walters']",Alexander Witt
Underworld: Awakening,2012,2012,6.3,"When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind.",Måns Mårlind,"['Måns Mårlind', 'Björn Stein']","['Kate Beckinsale', 'Michael Ealy', 'India Eisley', 'Stephen Rea', 'Theo James', 'Sandrine Holt', 'Charles Dance', 'Kris Holden-Ried', 'Jacob Blair', 'Adam Greydon Reid', 'Catlin Adams', 'Robert Lawrenson', 'Lee Majdoub', 'John Innes', 'Tyler McClendon', 'Panou', 'Ian Rozylo', 'Benita Ha']",Måns Mårlind
Ishtar,1987,1987,4.6,"Two terrible lounge singers get booked to play a gig in a Moroccan hotel but somehow become pawns in an international power play between the C.I.A., the Emir of Ishtar, and the rebels trying to overthrow his regime.",Elaine May,"['Elaine May', 'Elaine May']","['Warren Beatty', 'Dustin Hoffman', 'Isabelle Adjani', 'Charles Grodin', 'Jack Weston', 'Tess Harper', 'Carol Kane', 'Aharon Ipalé', 'Fijad Hageb', 'David Margulies', 'Rose Arrick', 'Julie Garfield', 'Cristine Rose', 'Robert V. Girolami', 'Abe Kroll', 'Hannah Kroll', 'Herb Gardner', 'Bill Moor']",Elaine May
Resident Evil: Extinction,2007,2007,6.2,"Survivors of the Raccoon City catastrophe travel across the Nevada desert, hoping to make it to Alaska. Alice joins the caravan and their fight against the evil Umbrella Corp.",Russell Mulcahy,"['Russell Mulcahy', 'Paul W.S. Anderson']","['Milla Jovovich', 'Ali Larter', 'Oded Fehr', 'Iain Glen', 'Ashanti', 'Christopher Egan', 'Spencer Locke', 'Matthew Marsden', 'Linden Ashby', ""Jason O'Mara"", 'Mike Epps', 'Joe Hursley', 'John Eric Bentley', 'James Tumminia', 'Kirk B.R. Woller', 'Rick Cramer', 'Madeline Carroll', ""Peter O'Meara""]",Russell Mulcahy
Woo,1998,1998,4.1,Gorgeous and extravert Woo meets insecure and straight-laced law clerk Tim at a blind date.,Daisy von Scherler Mayer,"['Daisy von Scherler Mayer', 'David C. Johnson']","['Jada Pinkett Smith', 'Tommy Davidson', 'Duane Martin', 'Michael Ralph', 'Darrel Heath', 'Dave Chappelle', 'Paula Jai Parker', 'LL Cool J', 'Aida Turturro', 'Lance Slaughter', 'Dartanyan Edmonds', 'Foxy Brown', 'Sam Moses', 'Tiffany Hall', 'Lina Bradford', 'Denosh Bennett', 'Joanna Bacalso', 'Mia Pitts']",Daisy von Scherler Mayer
Firefox,1982,1982,5.9,A pilot is sent into the Soviet Union on a mission to steal a prototype jet fighter that can be partially controlled by a neuralink.,Clint Eastwood,"['Clint Eastwood', 'Alex Lasker']","['Clint Eastwood', 'Freddie Jones', 'David Huffman', 'Warren Clarke', 'Ronald Lacey', 'Kenneth Colley', 'Klaus Löwitsch', 'Nigel Hawthorne', 'Stefan Schnabel', 'Thomas Hill', 'Clive Merrison', 'Kai Wulff', 'Dimitra Arliss', 'Austin Willis', 'Michael Currie', 'James Staley', 'Ward Costello', 'Alan Tilvern']",Clint Eastwood
I Still Know What You Did Last Summer,1998,1998,4.7,"The murderous fisherman with a hook is back to once again stalk the two surviving teens, Julie and Ray, who had left him for dead, as well as cause even more murder and mayhem, this time at a posh island resort.",Danny Cannon,"['Danny Cannon', 'Lois Duncan']","['Jennifer Love Hewitt', 'Freddie Prinze Jr.', 'Brandy Norwood', 'Mekhi Phifer', 'Muse Watson', 'Bill Cobbs', 'Matthew Settle', 'Jeffrey Combs', 'Jennifer Esposito', 'John Hawkes', 'Ellerine Harding', 'Benjamin Brown', 'Red West', 'Michael P. Byrne', 'Michael Bryan French', 'Dee Anne Helsel', 'Johnny Harrington', 'Mark Boone Junior']",Danny Cannon
Guilty by Association,2003,2003,2.3,A man becomes guilty by association. Suspense ensues.,Po Johns,"['Po Johns', 'Howard Gibson']","['Bryce', 'Jeff Edward', 'Morgan Freeman', 'Daemon Moore', 'Jammie Patton', 'Queen Pen', 'Section 8 Mob', 'Tanya LaVonne WhiteKabore', 'Bryce Wilson']",Po Johns
Sucker Punch,2011,2011,6.0,A young girl institutionalized by her abusive stepfather retreats to an alternative reality as a coping strategy and envisions a plan to help her escape.,Zack Snyder,"['Zack Snyder', 'Zack Snyder']","['Emily Browning', 'Vanessa Hudgens', 'Abbie Cornish', 'Jena Malone', 'Jamie Chung', 'Carla Gugino', 'Oscar Isaac', 'Jon Hamm', 'Scott Glenn', 'Richard Cetrone', 'Gerard Plunkett', 'Malcolm Scott', 'Ron Selmour', 'A.C. Peterson', 'Revard Dufresne', 'Kelora Clingwall', 'Frederique De Raucourt', 'Monique Ganderton']",Zack Snyder
