title,year,certificate,rating,description,director,writer,stars,actors,genres
Renaissance Man,1994,1994,6.2,A failed businessman is hired by the army to teach a group of underachieving recruits in order to help them pass basic training.,Trivia,Learn more about contributing,Stars,Danny DeVito,Penny Marshall
Here Today,2021,2021,6.7,"When veteran comedy writer Charlie Burnz meets New York street singer Emma Payge, they form an unlikely yet hilarious and touching friendship that kicks the generation gap aside and redefines the meaning of love and trust.",Trivia,Learn more about contributing,Stars,Billy Crystal,Billy Crystal
I'll Do Anything,1994,1994,5.5,"An aspiring actor's life gets upended when his ex-wife dumps their bossy, wild little daughter into his custody.",Awards,Learn more about contributing,Stars,Nick Nolte,James L. Brooks
Voyagers,2021,2021,5.4,"A crew of astronauts on a multi-generational mission descend into paranoia and madness, not knowing what is real or not.",Trivia,Learn more about contributing,Stars,Colin Farrell,Neil Burger
Mixed Nuts,1994,1994,5.4,The events focus around a crisis hotline business on one crazy night during the Christmas holidays.,Awards,Learn more about contributing,Stars,Steve Martin,Nora Ephron
Held,2020,2020,5.2,A couple's ailing marriage is put to the test when they are held hostage in an isolated vacation rental by an unseen Voice that commands their every move.,Goofs,Learn more about contributing,Stars,Jill Awbrey,Travis Cluff
The Woman in the Window,2021,2021,5.7,"An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.",Awards,,Stars,Amy Adams,Joe Wright
United Passions,2014,2014,2.1,"Follows the passing of the FIFA baton through three association presidents: Jules Rimet, Joao Havelange, and Sepp Blatter.",Awards,Learn more about contributing,Stars,Gérard Depardieu,Frédéric Auburtin
The Assignment,2016,2016,4.7,"After waking up and discovering that he has undergone gender reassignment surgery, an assassin seeks to find the doctor responsible.",Awards,Learn more about contributing,Stars,Michelle Rodriguez,Walter Hill
"What's Up, Tiger Lily?",1966,1966,5.9,A Japanese James Bond -esque spy flick reused and redubbed into the plot of a secret agent searching to uncover a recipe for the world's greatest egg salad in Woody Allen's directorial debut.,Trivia,Writers,Stars,Woody Allen,Woody Allen
The Legend of Tarzan,2016,2016,6.2,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",Awards,Learn more about contributing,Stars,Alexander Skarsgård,David Yates
Our Kind of Traitor,2016,2016,6.2,"A couple finds themselves lured into a Russian oligarch's plans to defect, and are soon positioned between the Russian Mafia and the British Secret Service, neither of whom they can trust.",Awards,Learn more about contributing,Stars,Carlos Acosta,Susanna White
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,2016,5.9,"The Turtles get into another battle with their enemy the Shredder, who has acquired new allies: the mutant thugs Bebop and Rocksteady and the alien being Krang.",Awards,Writers,Stars,Megan Fox,Dave Green
Jack Frost,1998,1998,5.4,"A father who can't keep his promises is killed in a car accident. One year later, he returns as a snowman who has the final chance to put things right with his son before he is gone forever.",Awards,Writers,Stars,Michael Keaton,Troy Miller
The Chronicles of Narnia: Prince Caspian,2008,2008,6.5,"The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",Awards,Writers,Stars,Ben Barnes,Andrew Adamson
M. Butterfly,1993,1993,6.7,"In 1960s China, French diplomat Rene Gallimard falls in love with an opera singer, Song Liling - but Song is not at all who Gallimard thinks.",Awards,Learn more about contributing,Stars,Jeremy Irons,David Cronenberg
Blank Check,1994,1994,5.2,"After a bike accident, a young boy inadvertently gains possession of a check for $1 million and proceeds to spend it, unaware that the gangsters it belongs to are in pursuit.",Trivia,Learn more about contributing,Stars,Brian Bonsall,Rupert Wainwright
La règle du jeu,1939,1939,7.9,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.",Awards,Learn more about contributing,Stars,Marcel Dalio,Jean Renoir
Margaret,2011,2011,6.5,"A young woman witnesses a bus accident, and is caught up in the aftermath, where the question of whether or not it was intentional affects many people's lives.",Awards,Learn more about contributing,Stars,Anna Paquin,Kenneth Lonergan
Dah,2002,2002,7.4,A visual social examination in the form of ten conversations between a driving woman and her various pick-ups and hitchhikers.,Awards,Learn more about contributing,Stars,Mania Akbari,Abbas Kiarostami
"Jeff, Who Lives at Home",2011,2011,6.5,"Dispatched from his basement room on an errand for his widowed mother, slacker Jeff might discover his destiny (finally) when he spends the day with his unhappily married brother as he tracks his possibly adulterous wife.",Awards,,Stars,Jason Segel,Jay Duplass
Vivre sa vie: Film en douze tableaux,1962,1962,7.9,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,Awards,Learn more about contributing,Stars,Anna Karina,Jean-Luc Godard
Without Remorse,2021,2021,5.7,"An elite Navy SEAL, goes on a path to avenge his wife's murder only to find himself inside of a larger conspiracy.",Awards,,Stars,Michael B. Jordan,Stefano Sollima
Prêt-à-Porter,1994,1994,5.2,A chronicle of the interconnected lives of a group of people in the lead up to Paris Fashion Week.,Awards,Learn more about contributing,Stars,Sophia Loren,Robert Altman
Silent House,2011,2011,5.2,A girl is trapped inside her family's lakeside retreat and becomes unable to contact the outside world as supernatural forces haunt the house with mysterious energy and consequences.,Awards,Learn more about contributing,Stars,Elizabeth Olsen,Chris Kentis
EuroTrip,2004,2004,6.6,"Dumped by his girlfriend, a high school grad decides to embark on an overseas adventure in Europe with his friends.",Awards,,Stars,Scott Mechlowicz,Jeff Schaffer
Bamako,2006,2006,6.7,"Bamako. Melé is a bar singer, her husband Chaka is out of work and the couple is on the verge of breaking up... In the courtyard of the house they share with other families, a trial court has been set up. African civil society spokesmen have taken proceedings against the World Bank and the IMF whom they blame for Africa's woes... Amidst the pleas and the testimonies, ... Read all",Awards,Learn more about contributing,Stars,Aïssa Maïga,Abderrahmane Sissako
Baby Mama,2008,2008,6.0,"A successful, single businesswoman who dreams of having a baby discovers she is infertile and hires a working class woman to be her unlikely surrogate.",Awards,,Stars,Tina Fey,Michael McCullers
Poison,1991,1991,6.4,"A boy shoots his father and flies out the window. A man falls in love with a fellow inmate in prison. A doctor accidentally ingests his experimental sex serum, wreaking havoc on the community.",Awards,Learn more about contributing,Stars,Edith Meeks,Todd Haynes
The Glass Room,2019,2019,5.3,Liesel Landauer and her friend Hana are linked by a lifelong relationship and an exceptional house built by the architect Von Abt for Liesel and her husband Viktor in Czechoslovakia in the early 1930s.,Awards,Learn more about contributing,Stars,Carice van Houten,Julius Sevcík
The Unholy,2021,2021,5.1,"A hearing-impaired girl is visited by the Virgin Mary and can suddenly hear, speak, and heal the sick. As people flock to witness her miracles, terrifying events unfold. Are they the work of the Virgin Mary or something much more sinister?",Awards,Learn more about contributing,Stars,Jeffrey Dean Morgan,Evan Spiliotopoulos
Hector and the Search for Happiness,2014,2014,6.9,A psychiatrist searches the globe to find the secret of happiness.,Awards,Writers,Stars,Simon Pegg,Peter Chelsom
What Women Want,2000,2000,6.4,"A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking.",Awards,Learn more about contributing,Stars,Mel Gibson,Nancy Meyers
Sphere,1998,1998,6.1,A spaceship is discovered under three hundred years' worth of coral growth at the bottom of the ocean.,Awards,Writers,Stars,Dustin Hoffman,Barry Levinson
Progeny,1998,1998,4.8,An unsuspecting woman is impregnated by aliens who are experimenting on the human population.,Awards,Learn more about contributing,Stars,Arnold Vosloo,Brian Yuzna
Houdini,1998,1998,5.6,The life and times of escape artist/magician Harry Houdini.,Won 1 Primetime Emmy,Learn more about contributing,Stars,Johnathon Schaech,Pen Densham
A Dirty Shame,2004,2004,5.1,"An uptight, middle-aged, repressed woman turns into a sex addict after getting hit on the head, and she then falls into an underground subculture of sex addicts in suburban Baltimore.",Awards,,Stars,Tracey Ullman,John Waters
Berberian Sound Studio,2012,2012,6.2,A sound engineer's work for an Italian horror studio becomes a terrifying case of life imitating art.,Awards,Learn more about contributing,Stars,Toby Jones,Peter Strickland
The Da Vinci Code,2006,2006,6.6,"A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity.",Awards,,Stars,Tom Hanks,Ron Howard
Book of Shadows: Blair Witch 2,2000,2000,4.0,"A group of tourists arrives in Burkittsville, Maryland after seeing The Blair Witch Project (1999) to explore the mythology and phenomenon, only to come face to face with their own neuroses and possibly the witch herself.",Awards,Writers,Stars,Jeffrey Donovan,Joe Berlinger
Supernova,2000,2000,4.8,A deep space rescue and recovery spaceship with a crew of 6 receives a distress call from a mining operation 3432 light years away. A rescue operation via dimension jump is made. Bad idea.,Trivia,Learn more about contributing,Stars,James Spader,Walter Hill
You Belong to Me,2021,2021,5.3,A psychiatrist whose client commits suicide finds his family life disrupted after introducing her surviving brother to his wife and daughter.,Trivia,Learn more about contributing,Stars,Casey Affleck,Vaughn Stein
The House of Mirth,2000,2000,7.0,A woman risks losing her chance of happiness with the only man she has ever loved.,Nominated for 2 BAFTA Awards,Learn more about contributing,Stars,Gillian Anderson,Terence Davies
The Hunted,2003,2003,6.0,An FBI deep-woods tracker attempts to capture a trained assassin who has made a sport of hunting humans.,Awards,Learn more about contributing,Stars,Tommy Lee Jones,William Friedkin
Southland Tales,2006,2006,5.3,"During a three-day heat wave just before a huge 4th of July celebration, an action star stricken with amnesia meets up with a porn star who is developing her own reality TV project, and a policeman who holds the key to a vast conspiracy.",Awards,,Stars,Dwayne Johnson,Richard Kelly
Highlander: Endgame,2000,2000,4.6,"Immortals Connor and Duncan MacLeod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone.",Awards,Writers,Stars,Christopher Lambert,Douglas Aarniokoski
Topsy-Turvy,1999,1999,7.3,"Set in the 1880s, the story of how, during a creative dry spell, the partnership of the legendary musical/theatrical writers Gilbert and Sullivan almost dissolves, before they turn it all around and write the Mikado.",Won 2 Oscars,,Stars,Jim Broadbent,Mike Leigh
Bruiser,2000,2000,5.2,"After years of being tread upon and cheated on, a man awakens to find his face has a been replaced by a blank, white mask.",Awards,Learn more about contributing,Stars,Jason Flemyng,George A. Romero
Wet Hot American Summer,2001,2001,6.5,"Set on the last day of camp, in the hot summer of 1981, a group of counselors try to complete their unfinished business before the day ends.",Awards,,Stars,Janeane Garofalo,David Wain
Lucky Numbers,2000,2000,5.0,A television weatherman scams a local lottery.,Awards,Learn more about contributing,Stars,John Travolta,Nora Ephron
Awake,2021,2021,4.9,"After a devastating global event wiped out all electronics and eliminated people's ability to sleep, a former soldier may have found a solution with her daughter.",Awards,Learn more about contributing,Stars,Gina Rodriguez,Mark Raso
Kill the Irishman,2011,2011,7.0,"The true story of Danny Greene, a tough Irish thug working for mobsters in Cleveland during the 1970's.",Awards,,Stars,Ray Stevenson,Jonathan Hensleigh
Above Suspicion,2019,2019,5.6,The true-crime story leading to the first-ever conviction of an F.B.I. Agent for murder.,Trivia,Learn more about contributing,Stars,Emilia Clarke,Phillip Noyce
Stone,2010,2010,5.4,A convicted arsonist looks to manipulate a parole officer into a plan to secure his parole by placing his beautiful wife in the lawman's path.,Trivia,Learn more about contributing,Stars,Edward Norton,John Curran
John Carter,2012,2012,6.6,"Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.",Awards,Writers,Stars,Taylor Kitsch,Andrew Stanton
Savages,2012,2012,6.4,Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,Awards,,Stars,Aaron Taylor-Johnson,Oliver Stone
