title,year,certificate,rating,description,director,writer,stars,actors,genres
Rings,2017,2017,4.5,A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.,Awards,Writers,Stars,Matilda Anna Ingrid Lutz,F. Javier Gutiérrez
Assassin's Creed,2016,2016,5.6,"Callum Lynch explores the memories of his ancestor Aguilar de Nerha and gains the skills of a Master Assassin, before taking on the secret Templar society.",Awards,Writers,Stars,Michael Fassbender,Justin Kurzel
Holmes & Watson,2018,2018,3.9,A humorous take on Sir Arthur Conan Doyle's classic mysteries featuring Sherlock Holmes and Doctor Watson.,Awards,Learn more about contributing,Stars,Will Ferrell,Etan Cohen
The Invasion,2007,2007,5.9,"As a Washington, D.C. psychiatrist unearths the origin of an alien epidemic, she also discovers her son might be the only way it can be stopped.",Awards,,Stars,Nicole Kidman,Oliver Hirschbiegel
Mechanic: Resurrection,2016,2016,5.7,Bishop's most formidable foe kidnaps the love of his life in order to make him complete three impossible assassinations and make them look like accidents.,Awards,Writers,Stars,Jason Statham,Dennis Gansel
Knight of Cups,2015,2015,5.6,"A writer indulging in all that Los Angeles and Las Vegas have to offer, undertakes a search for love and self via a series of adventures with six different women.",Awards,Learn more about contributing,Stars,Christian Bale,Terrence Malick
Mr. Right,2015,2015,6.3,"A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him.",Awards,Learn more about contributing,Stars,Anna Kendrick,Paco Cabezas
Maggie,2015,2015,5.6,"A teenage girl in the Midwest becomes infected by an outbreak of a disease that slowly turns the infected into cannibalistic zombies. During her transformation, her loving father stays by her side.",Awards,Learn more about contributing,Stars,Arnold Schwarzenegger,Henry Hobson
Poltergeist,2015,2015,4.9,A family whose suburban home is haunted by evil forces must come together to rescue their youngest daughter after the apparitions take her captive.,Awards,Writers,Stars,Sam Rockwell,Gil Kenan
Taken 3,2014,2014,6.0,"Accused of a ruthless murder he never committed or witnessed, Bryan Mills goes on the run and brings out his particular set of skills to find the true killer and clear his name.",Awards,,Stars,Liam Neeson,Olivier Megaton
Pixels,2015,2015,5.6,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.",Awards,,Stars,Adam Sandler,Chris Columbus
Blackhat,2015,2015,5.4,A furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta.,Awards,Learn more about contributing,Stars,Chris Hemsworth,Michael Mann
Righteous Kill,2008,2008,6.0,Two veteran New York City detectives work on a case of serial executions of criminals who escaped justice.,Awards,Learn more about contributing,Stars,Robert De Niro,Jon Avnet
Transformers: Age of Extinction,2014,2014,5.6,"When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.",Awards,,Stars,Mark Wahlberg,Michael Bay
The Monuments Men,2014,2014,6.1,An unlikely World War II platoon is tasked to rescue art masterpieces from Nazi thieves and return them to their owners.,Awards,Writers,Stars,George Clooney,George Clooney
Domino,2005,2005,5.9,A recounting of Domino Harvey's life story. The daughter of actor Laurence Harvey turned away from her career as a Ford model to become a bounty hunter.,Awards,Learn more about contributing,Stars,Keira Knightley,Tony Scott
Crystal Fairy y el cactus mágico,2013,2013,5.8,"As Jamie travels in Chile, he invites an eccentric woman to join his group's quest to score a fabled hallucinogen, a move that finds him at odds with his new companion, until they drink the magic brew on a beach at the edge of the desert.",Awards,Learn more about contributing,Stars,Michael Cera,Sebastián Silva
Songbird,2020,2020,4.7,"In 2024 a pandemic ravages the world and its cities. Centering on a handful of people as they navigate the obstacles currently hindering society: disease, martial law, quarantine, and vigilantes.",Trivia,,Stars,K.J. Apa,Adam Mason
Meet the Deedles,1998,1998,4.0,Two surfers end up as Yellowstone park rangers and have to stop a former ranger who is out for revenge.,Awards,Learn more about contributing,Stars,Paul Walker,Steve Boyum
The War with Grandpa,2020,2020,5.6,"Upset that he has to share the room he loves with his grandfather, Peter decides to declare war in an attempt to get it back.",Awards,Learn more about contributing,Stars,Robert De Niro,Tim Hill
Boo,2005,2005,4.2,A handful of college students get trapped in a haunted hospital on Halloween.,Awards,Learn more about contributing,Stars,Trish Coren,Anthony C. Ferrante
The Grudge,2020,2020,4.3,A house is cursed by a vengeful ghost that dooms those who enter it with a violent death.,Awards,,Stars,Tara Westwood,Nicolas Pesce
Jack,1996,1996,5.8,"Because of an unusual disorder that has aged him four times faster than a typical human being, a boy looks like a 40-year-old man as he starts fifth grade at public school after being homeschooled.",Awards,Learn more about contributing,Stars,Robin Williams,Francis Ford Coppola
Carlito's Way: Rise to Power,2005,2005,5.0,"In the late 1960s, Carlito Brigante (Hernandez) emerges as the heroin czar of Harlem.",Trivia,Learn more about contributing,Stars,Jay Hernandez,Michael Bregman
Wild Mountain Thyme,2020,2020,5.7,A pair of star-crossed lovers in Ireland get caught up in their family's land dispute.,Awards,Learn more about contributing,Stars,Emily Blunt,John Patrick Shanley
Holy Man,1998,1998,4.9,"Eddie Murphy stars as an over-the-top television evangelist who finds a way to turn television home shopping into a religious experience, and takes America by storm.",Awards,Learn more about contributing,Stars,Eddie Murphy,Stephen Herek
Fantastic Four,2005,2005,5.7,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",Awards,Writers,Stars,Ioan Gruffudd,Tim Story
Elizabethtown,2005,2005,6.3,"During a hometown memorial for his Kentucky-born father, a young man begins an unexpected romance with a too-good-to-be-true stewardess.",Awards,Learn more about contributing,Stars,Orlando Bloom,Cameron Crowe
Highlander II: The Quickening,1991,1991,4.2,"In the future, Highlander Connor MacLeod must prevent the destruction of Earth under an anti-ozone shield.",Trivia,Writers,Stars,Christopher Lambert,Russell Mulcahy
The First 9 1/2 Weeks,1998,1998,3.5,"An investment banker (Paul Mercurio) travels to Louisiana to snag the account of an eccentric millionaire (Malcolm McDowell) but gets involved with his lusty wife, Mardi Gras, and (possibly) a satanic cult. The events in and around New Orleans change him forever and give a new slant on The American Dream.",Connections,Learn more about contributing,Stars,Paul Mercurio,Alex Wright
Exorcist II: The Heretic,1977,1977,3.8,"A teenage girl once possessed by a demon finds that it still lurks within her. Meanwhile, a priest investigates the death of the girl's exorcist.",Awards,,Stars,Richard Burton,John Boorman
Not Another Teen Movie,2001,2001,5.7,A sendup of all the teen movies that have accumulated in the past two decades.,Awards,Writers,Stars,Chyler Leigh,Joel Gallen
Crocodile Dundee in Los Angeles,2001,2001,4.8,"Australian Outback adventurer Mick ""Crocodile"" Dundee travels to Los Angeles with his young son while his longtime companion suspects foul play at a movie studio.",Awards,,Stars,Paul Hogan,Simon Wincer
Spy Kids 4: All the Time in the World,2011,2011,3.5,"A retired spy is called back into action, and to bond with her new step-children, she invites them along for the adventure to stop the evil Timekeeper from taking over the world.",Awards,,Stars,Jessica Alba,Robert Rodriguez
Parting Shots,1998,1998,5.0,"When the doctors tell Harry Sterndale to get his affairs in order, he does just that - with a vengeance. With nothing to lose, Harry is out to give everyone who ever ""done him wrong"" something to remember him by: exactly what they deserve.",Trivia,Learn more about contributing,Stars,Chris Rea,Michael Winner
Joe Dirt,2001,2001,5.9,"After being abandoned by his parents at the Grand Canyon, Joe Dirt tells the story of his journey to find his parents.",Awards,Learn more about contributing,Stars,David Spade,Dennie Gordon
Out Cold,2001,2001,6.2,A snowboarder's plans for his own snowboard park go awry when an ex-girlfriend returns to town.,Trivia,Learn more about contributing,Stars,Flex Alexander,Brendan Malloy
On the Line,2001,2001,4.1,"A shy advertising employee meets his dream girl on the El train, but doesn't remember to get her phone number, resulting in an all-out search for the mystery girl",Awards,Learn more about contributing,Stars,Lance Bass,Eric Bross
Curly Sue,1991,1991,5.8,"A homeless man and his young companion, who survive by conning people, meet a woman who may need them even more than they need her.",Awards,Learn more about contributing,Stars,Jim Belushi,John Hughes
Knock Off,1998,1998,4.8,A fashion designer must join forces with a C.I.A. agent to combat terrorism.,Trivia,Learn more about contributing,Stars,Jean-Claude Van Damme,Hark Tsui
Evil Town,1987,1987,3.9,Young people passing through a small town discover that a crazed doctor is conducting sinister experiments on the youth to combat the aging process.,Trivia,Writers,Stars,James Keach,Curtis Hanson
Blade Squad,1998,1998,3.7,"The Blade Squad is an experimental police chaser unit that consists of mainly cops who have screwed up and are practically off the force, who patrol the city on roller blades and have jet packs that give them speed. Presently, the department is trying to decide if whether or not they are worth keeping on. They are going after street punk who pulls flawless robberies. ... Read all",Awards,Learn more about contributing,Stars,Yancey Arias,Ralph Hemecker
Krippendorf's Tribe,1998,1998,5.0,An anthropologist creates a fictitious lost New Guinea tribe using his family members to cover-up for his misuse of grant monies.,Awards,Learn more about contributing,Stars,Richard Dreyfuss,Todd Holland
Empire of the Ants,1977,1977,4.2,Con artist Marilyn Fryser tries to sell bogus real estate deals in an area overrun by giant ants.,Awards,,Stars,Joan Collins,Bert I. Gordon
Ghosts of Mars,2001,2001,4.9,"In 2176, a Martian police unit is sent to pick up a highly dangerous criminal at a remote mining post. Upon arrival, the cops find that the post has become a charnel house.",Awards,Learn more about contributing,Stars,Natasha Henstridge,John Carpenter
Tangled,2001,2001,5.5,Two friends are each dating the same college girl. Who of them puts her in harms way?,Trivia,Learn more about contributing,Stars,Rachael Leigh Cook,Jay Lowi
"I, Frankenstein",2014,2014,5.1,"Frankenstein's creature finds himself caught in an all-out, centuries-old war between two immortal clans.",Awards,Learn more about contributing,Stars,Aaron Eckhart,Stuart Beattie
Annabelle,2014,2014,5.4,A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,Awards,,Stars,Ward Horton,John R. Leonetti
Dracula Untold,2014,2014,6.2,"As his kingdom is being threatened by the Turks, young prince Vlad Tepes must become a monster feared by his own people in order to obtain the power needed to protect his own family, and the families of his kingdom.",Awards,Learn more about contributing,Stars,Luke Evans,Gary Shore
Clifford,1994,1994,5.4,"A bratty 10-year-old boy is obsessed with visiting a dinosaur-themed amusement park. His uptight uncle takes the wily tyke in for a week, and barely lives to regret it.",Trivia,Learn more about contributing,Stars,Martin Short,Paul Flaherty
The Cave,2005,2005,5.1,Blood-thirsty creatures await a pack of divers who become trapped in an underwater cave network.,Trivia,,Stars,Piper Perabo,Bruce Hunt
Into the Blue,2005,2005,5.9,A group of divers find themselves in deep trouble with a drug lord after they come upon the illicit cargo of a sunken airplane.,Awards,Learn more about contributing,Stars,Paul Walker,John Stockwell
Abduction,2011,2011,5.1,A young man sets out to uncover the truth about his life after finding his baby photo on a missing persons website.,Awards,,Stars,Taylor Lautner,John Singleton
Memoirs of an Invisible Man,1992,1992,6.0,"After a freak accident, a company executive turns completely invisible, goes on the run and becomes hunted by a treacherous CIA official, whilst trying to cope with his new reality.",Awards,Writers,Stars,Chevy Chase,John Carpenter
Trapped in Paradise,1994,1994,5.9,Residents of a friendly Pennsylvania town foil three brothers' plan to rob a bank on Christmas Eve.,Trivia,Learn more about contributing,Stars,Nicolas Cage,George Gallo
Just Go with It,2011,2011,6.4,"On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.",Awards,Writers,Stars,Adam Sandler,Dennis Dugan
Tiptoes,2002,2002,4.3,The story of a peculiar love triangle involving two brothers.,Trivia,Learn more about contributing,Stars,Gary Oldman,Matthew Bright
Torn Curtain,1966,1966,6.6,An American scientist publicly defects to East Germany as part of a cloak and dagger mission to find the solution for a formula resin before planning an escape back to the West.,Awards,,Stars,Paul Newman,Alfred Hitchcock
Scoob!,2020,2020,5.6,"Scooby and the gang face their most challenging mystery ever: a plot to unleash the ghost dog Cerberus upon the world. As they race to stop this dogpocalypse, the gang discovers that Scooby has an epic destiny greater than anyone imagined.",Awards,Writers,Stars,Will Forte,Tony Cervone
Like a Boss,2020,2020,4.6,Two friends with very different ideals start a beauty company together. One is more practical while the other wants to earn her fortune and live a lavish lifestyle.,Awards,Learn more about contributing,Stars,Tiffany Haddish,Miguel Arteta
Capone,2020,2020,4.7,"After 10 years in prison, 47-year-old Al Capone starts to suffer from dementia and comes to be haunted by his violent past.",Awards,Learn more about contributing,Stars,Tom Hardy,Josh Trank
Chick Fight,2020,2020,4.7,"When Anna Wyncomb is introduced to an underground, all-female fight club in order to turn the mess of her life around, she discovers she is much more personally connected to the history of the club than she could ever imagine.",Trivia,Learn more about contributing,Stars,Malin Akerman,Paul Leyden
Fantasy Island,2020,2020,4.9,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",Awards,Writers,Stars,Michael Peña,Jeff Wadlow
Catwoman,2004,2004,3.4,"A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas.",Awards,Writers,Stars,Halle Berry,Pitof
McBain,1991,1991,4.7,A former Vietnam War lieutenant reforms his old team in order to help a revolutionary's sister overthrow a ruthless dictator.,Trivia,Learn more about contributing,Stars,Christopher Walken,James Glickenhaus
From Paris with Love,2010,2010,6.4,"In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the city.",Trivia,Learn more about contributing,Stars,John Travolta,Pierre Morel
Dangerous Lies,2020,2020,5.3,"When a wealthy elderly man dies and unexpectedly leaves his estate to his new caregiver, she's drawn into a web of deception and murder. If she's going to survive, she'll have to question everyone's motives - even the people she loves.",Awards,Learn more about contributing,Stars,Nick Purcha,Michael M. Scott
Uptown Girls,2003,2003,6.1,A grown-up woman who kept her childish instincts and behavior starts working as the nanny of an 8-year-old girl who actually acts like an adult. But everything ends right-side up.,Awards,Writers,Stars,Brittany Murphy,Boaz Yakin
Force of Nature,2020,2020,4.5,A gang of thieves plan a heist during a hurricane and encounter trouble when a cop tries to force everyone in the building to evacuate.,Trivia,Learn more about contributing,Stars,Emile Hirsch,Michael Polish
The Last Thing He Wanted,2020,2020,4.3,A veteran D.C. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. Adapted from Joan Didion's namesake novel.,Awards,Learn more about contributing,Stars,Anne Hathaway,Dee Rees
Spenser Confidential,2020,2020,6.2,"When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate Hawk to take down criminals.",Awards,Writers,Stars,Mark Wahlberg,Peter Berg
The Last Days of American Crime,2020,2020,3.7,"In the not-too-distant future, as a final response to terrorism and crime, the U.S. government plans to broadcast a signal making it impossible for anyone to knowingly commit unlawful acts.",Trivia,Learn more about contributing,Stars,Neels Clasen,Olivier Megaton
The Chronicles of Riddick,2004,2004,6.6,"The wanted criminal Richard Bruno Riddick (Vin Diesel) arrives on a planet called Helion Prime and finds himself up against an invading empire called the Necromongers, an army that plans to convert or kill all humans in the universe.",Awards,,Stars,Vin Diesel,David Twohy
Fast & Furious,2009,2009,6.5,"Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.",Awards,,Stars,Vin Diesel,Justin Lin
The Rhythm Section,2020,2020,5.4,A woman seeks revenge against those who orchestrated a plane crash that killed her family.,Awards,Learn more about contributing,Stars,Blake Lively,Reed Morano
The Jesus Rolls,2019,2019,4.4,"A trio of misfits whose irreverent, sexually charged dynamic evolves into a surprising love story as their spontaneous and flippant attitude towards the past or future backfires time and again.",Trivia,Writers,Stars,John Turturro,John Turturro
Superintelligence,2020,2020,5.4,"When an all-powerful Superintelligence chooses to study average Carol Peters, the fate of the world hangs in the balance. As the A.I. decides to enslave, save or destroy humanity, it's up to Carol to prove that people are worth saving.",Awards,Learn more about contributing,Stars,Melissa McCarthy,Ben Falcone
The Matrix Revolutions,2003,2003,6.7,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,Awards,,Stars,Keanu Reeves,Lana Wachowski
Downhill,2020,2020,4.9,"Barely escaping an avalanche during a family ski vacation in the Alps, a married couple is thrown into disarray as they are forced to reevaluate their lives and how they feel about each other.",Awards,Writers,Stars,Julia Louis-Dreyfus,Nat Faxon
Clover,2020,2020,4.4,Two brothers owe money to the wrong guy at the wrong time. While they go on the run trying to pull together the money they become burdened with a teenage girl and hunted by assassins they don't know are following their every move,Awards,Learn more about contributing,Stars,Mark Webber,Jon Abrahams
The Turning,2020,2020,3.9,"A young governess is hired to look after an orphaned girl, but the return of the girl's problematic brother uncovers secrets from their past. A modern take on Henry James' novella ""The Turn of the Screw.""",Awards,,Stars,Mackenzie Davis,Floria Sigismondi
Four Kids and It,2020,2020,5.1,A group of kids on holiday in Cornwall meet a magical creature on the beach with the power to grant wishes.,Trivia,Learn more about contributing,Stars,Teddie-Rose Malleson-Allen,Andy De Emmony
The Craft: Legacy,2020,2020,4.5,A group of high school students form a coven of witches.,Awards,Learn more about contributing,Stars,Cailee Spaeny,Zoe Lister-Jones
The Tax Collector,2020,2020,4.8,"A ""tax collector"" working for a local crime lord finds his family's safety compromised when the rival of his boss shows up in L.A. and upends the business.",Awards,Learn more about contributing,Stars,Bobby Soto,David Ayer
Vitalina Varela,2019,2019,6.8,"A Cape Verdean woman navigates her way through Lisbon, following the scanty physical traces her deceased husband left behind and discovering his secret, illicit life.",Awards,Learn more about contributing,Stars,Vitalina Varela,Pedro Costa
The Secret: Dare to Dream,2020,2020,6.5,"A feature film adaptation of the self-help book, 'The Secret', which focuses on the power of positive thinking.",Awards,Writers,Stars,Katie Holmes,Andy Tennant
The Lie,2018,2018,5.8,"A father and daughter are on their way to dance camp when they spot the girl's best friend on the side of the road. When they stop to offer the friend a ride, their good intentions soon result in terrible consequences.",Awards,Learn more about contributing,Stars,Peter Sarsgaard,Veena Sud
My Spy,2020,2020,6.3,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.",Trivia,Learn more about contributing,Stars,Dave Bautista,Peter Segal
The Assistant,2019,2019,6.4,"A searing look at a day in the life of an assistant to a powerful executive. As Jane follows her daily routine, she grows increasingly aware of the insidious abuse that threatens every aspect of her position.",Awards,Learn more about contributing,Stars,Julia Garner,Kitty Green
I Still Believe,2020,2020,6.4,The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.,Awards,Learn more about contributing,Stars,K.J. Apa,Andrew Erwin
Hillbilly Elegy,2020,2020,6.7,"An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future.",Nominated for 2 Oscars,Learn more about contributing,Stars,Amy Adams,Ron Howard
Holidate,2020,2020,6.1,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",Awards,Learn more about contributing,Stars,Emma Roberts,John Whitesell
The Sonata,2018,2018,5.2,A gifted musician inherits a mansion after her long lost father dies under mysterious circumstances. She discovers his last musical masterpiece riddled with cryptic symbols that unravels an evil secret.,Awards,Learn more about contributing,Stars,Freya Tingley,Andrew Desmond
Vanguard,2020,2020,4.7,Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.,Awards,Learn more about contributing,Stars,Jackie Chan,Stanley Tong
The Kindness of Strangers,2019,2019,6.4,The story of people whose lives intertwine during a dramatic winter in New York City.,Awards,Learn more about contributing,Stars,Zoe Kazan,Lone Scherfig
Dirt Music,2019,2019,5.3,The stunning landscape of Western Australia is the backdrop for an impassioned tale of love and grief in Gregor Jordan's adaptation of the acclaimed novel by Tim Winton.,Awards,Learn more about contributing,Stars,Kelly Macdonald,Gregor Jordan
Wonder Woman 1984,2020,2020,5.4,"Diana must contend with a work colleague and businessman, whose desire for extreme wealth sends the world down a path of destruction, after an ancient artifact that grants wishes goes missing.",Awards,Writers,Stars,Gal Gadot,Patty Jenkins
Honest Thief,2020,2020,6.0,"Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.",Awards,Learn more about contributing,Stars,Liam Neeson,Mark Williams
"Endings, Beginnings",2019,2019,5.6,"A 30-something woman navigating through love and heartbreak over the course of one year. During that time, she will unlock the secrets to her life in a sudden turn of events and in the most surprising of places.",Trivia,Learn more about contributing,Stars,Shailene Woodley,Drake Doremus
Spaceballs,1987,1987,7.1,A star-pilot for hire and his trusty sidekick must come to the rescue of a princess and save Planet Druidia from the clutches of the evil Spaceballs.,Awards,,Stars,Mel Brooks,Mel Brooks
Blade: Trinity,2004,2004,5.8,"Blade, now a wanted man by the FBI, must join forces with the Nightstalkers to face his most challenging enemy yet: Dracula.",Awards,,Stars,Wesley Snipes,David S. Goyer
G.I. Joe: Retaliation,2013,2013,5.7,The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.,Awards,,Stars,Dwayne Johnson,Jon M. Chu
The Punisher,2004,2004,6.4,An undercover FBI agent becomes a vigilante and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.,Awards,,Stars,Thomas Jane,Jonathan Hensleigh
The Midnight Sky,2020,2020,5.6,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe.",Nominated for 1 Oscar,Learn more about contributing,Stars,George Clooney,George Clooney
Transformers,2007,2007,7.0,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",Nominated for 3 Oscars,,Stars,Shia LaBeouf,Michael Bay
Envy,2004,2004,4.8,A man becomes increasingly jealous of his friend's newfound success.,Awards,Learn more about contributing,Stars,Ben Stiller,Barry Levinson
Alexander,2004,2004,5.6,"Alexander, the King of Macedonia and one of the greatest army leaders in the history of warfare, conquers much of the known world.",Awards,,Stars,Colin Farrell,Oliver Stone
Ocean's Twelve,2004,2004,6.5,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's Eleven (2001).,Awards,,Stars,George Clooney,Steven Soderbergh
Wanderlust,2012,2012,5.6,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.",Awards,,Stars,Jennifer Aniston,David Wain
The Affair of the Necklace,2001,2001,6.0,"In pre-Revolutionary France, a young aristocratic woman left penniless by the political unrest in the country must avenge her family's fall from grace by scheming to steal a priceless necklace.",Nominated for 1 Oscar,Learn more about contributing,Stars,Hilary Swank,Charles Shyer
Corky Romano,2001,2001,4.7,The loser son of a Mafia honcho must go undercover for the FBI.,Awards,Learn more about contributing,Stars,Chris Kattan,Rob Pritts
Көліктер 2,2011,2011,6.2,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,Awards,Writers,Stars,Owen Wilson,John Lasseter
Scary Movie 2,2001,2001,5.3,Four teens are tricked by Professor Oldman (Tim Curry) into visiting a haunted house for a school project.,Awards,Writers,Stars,Anna Faris,Keenen Ivory Wayans
In God's Hands,1998,1998,5.4,"Three pro surfers - gifted Shane, once-great Mickey and rising young star Keoni travel to Madagascar, Bali and Hawaii in search for the ultimate wave.",Trivia,Learn more about contributing,Stars,Matt George,Zalman King
The Man with the Iron Fists,2012,2012,5.4,"On the hunt for a fabled treasure of gold, a band of warriors, assassins, and a rogue British soldier descend upon a village in feudal China, where a humble blacksmith looks to defend himself and his fellow villagers.",Awards,,Stars,Russell Crowe,RZA
Texas Rangers,2001,2001,5.2,"A ragtag group of youngsters band together after the American Civil War to form the Texas Rangers, a group charged with the dangerous, ruthless duty of cleaning up the West.",Trivia,Learn more about contributing,Stars,James Van Der Beek,Steve Miner
The Big Swap,1998,1998,5.2,Five thirty-something couples decide to indulge in some friendly partner swapping with disastrous results for their marriages and friendship.,Trivia,Learn more about contributing,Stars,Anthony Edridge,Niall Johnson
Ghosts of Mars,2001,2001,4.9,"In 2176, a Martian police unit is sent to pick up a highly dangerous criminal at a remote mining post. Upon arrival, the cops find that the post has become a charnel house.",Awards,Learn more about contributing,Stars,Natasha Henstridge,John Carpenter
Max Keeble's Big Move,2001,2001,5.4,"Max Keeble, the victim of his 7th grade class, plots revenge when he learns that he's moving, but it backfires when he isn't after all.",Awards,Writers,Stars,Alex D. Linz,Tim Hill
Hudson Hawk,1991,1991,5.7,A cat burglar is forced to steal Da Vinci works of art for a world domination plot.,Awards,Writers,Stars,Bruce Willis,Michael Lehmann
The Incredible Burt Wonderstone,2013,2013,5.9,"A veteran Vegas magician tries to revive his career after his longtime partner quits, he gets fired from his casino act, and an edgy new ""street magician"" steals his thunder.",Awards,Writers,Stars,Steve Carell,Don Scardino
Exorcist: The Beginning,2004,2004,5.1,"Years before Father Lankester Merrin helped save Regan MacNeil's soul, he first encounters the demon Pazuzu in East Africa. This is the tale of Father Merrin's initial battle with Pazuzu and the rediscovery of his faith.",Awards,Writers,Stars,Stellan Skarsgård,Renny Harlin
The Last Airbender,2010,2010,4.0,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",Awards,Learn more about contributing,Stars,Noah Ringer,M. Night Shyamalan
The Versace Murder,1998,1998,3.4,This docu-drama focuses on the true story of the murder of fashion designer Gianni Versace by alleged serial killer Andrew Cunanan.,Trivia,Learn more about contributing,Stars,Franco Nero,Menahem Golan
Resident Evil: Apocalypse,2004,2004,6.1,"Alice wakes up in the Raccoon City hospital after the area has been overrun by zombies, and must now make it out of the city before a nuclear bomb is dropped.",Awards,,Stars,Milla Jovovich,Alexander Witt
Underworld: Awakening,2012,2012,6.3,"When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind.",Awards,Writers,Stars,Kate Beckinsale,Måns Mårlind
Ishtar,1987,1987,4.6,"Two terrible lounge singers get booked to play a gig in a Moroccan hotel but somehow become pawns in an international power play between the C.I.A., the Emir of Ishtar, and the rebels trying to overthrow his regime.",Awards,Learn more about contributing,Stars,Warren Beatty,Elaine May
Resident Evil: Extinction,2007,2007,6.2,"Survivors of the Raccoon City catastrophe travel across the Nevada desert, hoping to make it to Alaska. Alice joins the caravan and their fight against the evil Umbrella Corp.",Awards,,Stars,Milla Jovovich,Russell Mulcahy
Woo,1998,1998,4.1,Gorgeous and extravert Woo meets insecure and straight-laced law clerk Tim at a blind date.,Trivia,Learn more about contributing,Stars,Jada Pinkett Smith,Daisy von Scherler Mayer
Firefox,1982,1982,5.9,A pilot is sent into the Soviet Union on a mission to steal a prototype jet fighter that can be partially controlled by a neuralink.,Trivia,,Stars,Clint Eastwood,Clint Eastwood
I Still Know What You Did Last Summer,1998,1998,4.7,"The murderous fisherman with a hook is back to once again stalk the two surviving teens, Julie and Ray, who had left him for dead, as well as cause even more murder and mayhem, this time at a posh island resort.",Awards,,Stars,Jennifer Love Hewitt,Danny Cannon
Guilty by Association,2003,2003,2.3,A man becomes guilty by association. Suspense ensues.,Trivia,Learn more about contributing,Stars,Bryce,Po Johns
Sucker Punch,2011,2011,6.0,A young girl institutionalized by her abusive stepfather retreats to an alternative reality as a coping strategy and envisions a plan to help her escape.,Awards,,Stars,Emily Browning,Zack Snyder
Flyin' Ryan,2003,2003,2.7,"12-year-old Ryan's luck is about to change, when he discovers a strange pair of magical sneakers. When he puts on these shoes, Ryan becomes FLYIN' RYAN.. and the sky's the limit! With his newfound pal Nicki, along with Theo the dog, Ryan is ready to take on Dirk the bully and his skateboarding crew.",Trivia,Learn more about contributing,Stars,Andy Weiss,Linda Shayne
Big Money Rustlas,2010,2010,3.9,"In the Wild West town of Mudbug, Sheriff Sugar Wolf arrives to confront an over-the-top villain, Big Baby Chips.",Trivia,Learn more about contributing,Stars,Violent J,Paul Andresen
